snp_id	chrom	bp	p_value	mlog10_p
1:100000	1	100000	0.1	1
1:200000	1	200000	0.1	1
1:300000	1	300000	0.00005	4.30102999566398
1:400000	1	400000	0.1	1
1:500000	1	500000	0.1	1
1:600000	1	600000	0.00005	4.30102999566398
1:700000	1	700000	0.1	1
1:800000	1	800000	0.00000001	8
1:900000	1	900000	0.00005	4.30102999566398
1:1000000	1	1000000	0.1	1
1:1100000	1	1100000	0.1	1
1:1200000	1	1200000	0.00005	4.30102999566398
1:1300000	1	1300000	0.1	1
1:1400000	1	1400000	0.1	1
1:1500000	1	1500000	0.00005	4.30102999566398
1:1600000	1	1600000	0.1	1
1:1700000	1	1700000	0.1	1
1:1800000	1	1800000	0.00005	4.30102999566398
1:1900000	1	1900000	0.1	1
1:2000000	1	2000000	0.1	1
2:100000	2	100000	0.1	1
2:200000	2	200000	0.1	1
2:300000	2	300000	0.00005	4.30102999566398
2:400000	2	400000	0.1	1
2:500000	2	500000	0.0000002	6.69897000433602
2:600000	2	600000	0.00005	4.30102999566398
2:700000	2	700000	0.1	1
2:800000	2	800000	0.1	1
2:900000	2	900000	0.00005	4.30102999566398
2:1000000	2	1000000	0.1	1
2:1100000	2	1100000	0.1	1
2:1200000	2	1200000	0.00005	4.30102999566398
2:1300000	2	1300000	0.1	1
2:1400000	2	1400000	0.1	1
2:1500000	2	1500000	0.00005	4.30102999566398
2:1600000	2	1600000	0.1	1
2:1700000	2	1700000	0.1	1
2:1800000	2	1800000	0.00005	4.30102999566398
